," [Z1Light , false]"," [Z1Light , true]"," [Z2Light , false]"," [Z2Light , true]"," [Z1Blinds , false] ","[Z1Blinds , true]","[Z2Blinds , false]","[Z2Blinds , true]"
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0
1001,0,0,0,0,0,0,0,0
1002,0,0,0,0,0,0,0,0
1003,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0
1012,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0
1101,0,0,0,0,0,0,0,0
1102,0,0,0,0,0,0,0,0
1103,0,0,0,0,0,0,0,0
1110,0,0,0,0,0,0,0,0
1111,0,0,0,0,0,0,0,0
1112,0,0,0,0,0,0,0,0
1113,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0
10001,0,0,0,0,0,0,0,0
10002,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0
10010,0,0,0,0,0,0,0,0
10011,0,0,0,0,0,0,0,0
10012,0,0,0,0,0,0,0,0
10013,0,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0
10101,0,0,0,0,0,0,0,0
10102,0,0,0,0,0,0,0,0
10103,0,0,0,0,0,0,0,0
10110,0,0,0,0,0,0,0,0
10111,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0
10113,0,0,0,0,0,0,0,0
11000,0,0,0,0,0,0,0,0
11001,0,0,0,0,0,0,0,0
11002,0,0,0,0,0,0,0,0
11003,0,0,0,0,0,0,0,0
11010,0,0,0,0,0,0,0,0
11011,0,0,0,0,0,0,0,0
11012,0,0,0,0,0,0,0,0
11013,0,0,0,0,0,0,0,0
11100,0,0,0,0,0,0,0,0
11101,0,0,0,0,0,0,0,0
11102,0,0,0,0,0,0,0,0
11103,0,0,0,0,0,0,0,0
11110,0,0,0,0,0,0,0,0
11111,0,0,0,0,0,0,0,0
11112,0,0,0,0,0,0,0,0
11113,0,0,0,0,0,0,0,0
100000,0,0,0,0,0,0,0,0
100001,0,0,0,0,0,0,0,0
100002,0,0,0,0,0,0,0,0
100003,0,0,0,0,0,0,0,0
100010,0,0,0,0,0,0,0,0
100011,0,0,0,0,0,0,0,0
